"index","sex","given","l","m","s"
"wfa",1,180.5,-0.665609025,56.49095862,0.181665781
"wfa",1,181.5,-0.673425951,56.90610886,0.18085918
"wfa",1,182.5,-0.681987284,57.31634059,0.180054395
"wfa",1,183.5,-0.691273614,57.72138846,0.179253153
"wfa",1,184.5,-0.701261055,58.12099696,0.178457127
"wfa",1,185.5,-0.711921092,58.51492143,0.177667942
"wfa",1,186.5,-0.723218488,58.90293208,0.176887192
"wfa",1,187.5,-0.735121189,59.28479948,0.176116307
"wfa",1,188.5,-0.747580416,59.66032626,0.175356814
"wfa",1,189.5,-0.760550666,60.02931704,0.174610071
"wfa",1,190.5,-0.773984558,60.39158721,0.173877336
"wfa",1,191.5,-0.787817728,60.74698785,0.173159953
"wfa",1,192.5,-0.801993069,61.09536847,0.172459052
"wfa",1,193.5,-0.816446409,61.43660077,0.171775726
"wfa",1,194.5,-0.831110299,61.77057372,0.171110986
"wfa",1,195.5,-0.845914498,62.09719399,0.170465756
"wfa",1,196.5,-0.860786514,62.41638628,0.169840869
"wfa",1,197.5,-0.875652181,62.72809362,0.169237063
"wfa",1,198.5,-0.890436283,63.03227756,0.168654971
"wfa",1,199.5,-0.905063185,63.32891841,0.168095124
"wfa",1,200.5,-0.91945749,63.61801537,0.16755794
"wfa",1,201.5,-0.933544683,63.89958662,0.167043722
"wfa",1,202.5,-0.947251765,64.17366943,0.166552654
"wfa",1,203.5,-0.960507855,64.44032016,0.166084798
"wfa",1,204.5,-0.973244762,64.69961427,0.16564009
"wfa",1,205.5,-0.985397502,64.95164625,0.165218341
"wfa",1,206.5,-0.996904762,65.1965295,0.164819236
"wfa",1,207.5,-1.007705555,65.43440186,0.16444238
"wfa",1,208.5,-1.017756047,65.66540015,0.164087103
"wfa",1,209.5,-1.027002713,65.88970117,0.163752791
"wfa",1,210.5,-1.035402243,66.10749114,0.163438661
"wfa",1,211.5,-1.042916356,66.31897311,0.163143825
"wfa",1,212.5,-1.049511871,66.52436618,0.162867311
"wfa",1,213.5,-1.055160732,66.72390443,0.162608072
"wfa",1,214.5,-1.059840019,66.91783563,0.162365006
"wfa",1,215.5,-1.063531973,67.10641956,0.162136973
"wfa",1,216.5,-1.066224038,67.28992603,0.161922819
"wfa",1,217.5,-1.067908908,67.46863255,0.161721398
"wfa",1,218.5,-1.068589885,67.64281378,0.16153153
"wfa",1,219.5,-1.068261146,67.8127675,0.161352313
"wfa",1,220.5,-1.066933756,67.97877331,0.161182785
"wfa",1,221.5,-1.064620976,68.14111022,0.161022184
"wfa",1,222.5,-1.061341755,68.30004741,0.160869943
"wfa",1,223.5,-1.057116957,68.4558454,0.160725793
"wfa",1,224.5,-1.051988979,68.60872174,0.160589574
"wfa",1,225.5,-1.04599033,68.75889263,0.1604617
